Country,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.732595966,3.366778149,-1.035375324,6.429816914,-0.020479214,3.54362966,2.116716123,5.482371174,5.257854913,0.635029788,-18.58909924,17.1725086,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.158675971,3.706906333,0.845015615,4.219599036,3.994681915,2.974101283,2.22452441,2.546973273,2.513983566,2.087765413,-2.888680575,4.334926691,3.404851577
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.69999999,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.970999259,4.852866078,5.137565864,6.109740527,5.929462716,2.7500419,0.125435032,2.313218649,2.813142214,3.212407147,-0.927799549,3.980848328,3.762758491
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580111222,-0.147149825,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.04540301
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.087711996,-3.302082039,8.908527818,4.844235895
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.287199781,8.809579348
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.728855464,3.512586792,5.142063406,2.618809549,2.430327868,3.448878174,3.688725251,1.218687607,2.447794694,1.377703184,-5.072595121,3.563609982,5.962745078
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.602850048,6.928508595,4.776625734,5.055559658,4.165691841,6.786772877,5.56149076,0.735068714,1.313913882,1.108348135,-4.957052433,3.916296076,7.411103202
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946,5.243044499
